,carat,cut,color,clarity,depth,table,price,x,y,z,price/carat
952,0.54,Good,G,VS2,63.6,56,1422,5.14,5.17,3.28,2633.333333
953,0.24,Very Good,F,VVS1,59,59,552,4.05,4.08,2.4,2300
954,0.32,Ideal,D,SI2,62.8,57,612,4.38,4.35,2.74,1912.5
955,2.12,Premium,H,SI2,59.1,59,16992,8.47,8.43,4.99,8015.09434
956,2.01,Fair,G,SI2,65.9,57,10887,7.85,7.78,5.15,5416.41791
957,0.43,Ideal,G,VVS2,60.9,57,1129,4.9,4.85,2.97,2625.581395
958,0.44,Premium,I,VS1,62.8,56,1040,4.88,4.83,3.05,2363.636364
959,0.5,Premium,E,VS2,61.4,59,1746,5.13,5.09,3.14,3492
960,0.32,Very Good,E,SI1,60.1,60,561,4.42,4.47,2.67,1753.125
961,0.53,Ideal,H,VVS1,62.4,54,1743,5.18,5.2,3.24,3288.679245
962,0.36,Ideal,E,VS1,61.8,55,835,4.58,4.61,2.84,2319.444444
963,1.08,Ideal,I,VS2,61.6,56,5000,6.63,6.59,4.07,4629.62963
964,0.4,Ideal,G,SI2,62,56,632,4.73,4.76,2.94,1580
965,1.13,Premium,J,SI2,59.7,59,4093,6.85,6.76,4.06,3622.123894
966,0.38,Ideal,E,VS2,62,56,853,4.62,4.66,2.88,2244.736842
967,1.2,Good,E,VS2,63.7,57,5914,6.71,6.64,4.25,4928.333333
968,1.01,Good,I,VS1,59,63.5,5056,6.5,6.57,3.86,5005.940594
969,0.31,Ideal,E,VVS2,61.2,56,979,4.37,4.39,2.68,3158.064516
970,0.36,Ideal,H,SI1,62.4,53,538,4.58,4.59,2.86,1494.444444
971,0.31,Premium,E,SI1,62.3,56,698,4.4,4.37,2.73,2251.612903
972,0.3,Ideal,H,SI1,62.2,57,450,4.27,4.28,2.66,1500
973,0.41,Very Good,D,SI1,60.3,63,920,4.8,4.78,2.89,2243.902439
974,0.4,Premium,G,VS1,60.3,59,1125,4.8,4.76,2.88,2812.5
975,0.71,Very Good,H,VS2,61.8,58,2368,5.66,5.7,3.51,3335.211268
976,0.42,Premium,F,VS1,61.8,59,1103,4.83,4.81,2.98,2626.190476
977,1.52,Very Good,F,SI2,63.1,60,7320,7.25,7.21,4.56,4815.789474
978,0.91,Good,E,SI1,60.2,60,4523,6.17,6.26,3.74,4970.32967
979,0.56,Ideal,D,SI2,62.2,55,1243,5.29,5.32,3.3,2219.642857
980,1.12,Premium,F,VS1,61.2,58,7903,6.72,6.68,4.1,7056.25
981,1.01,Ideal,E,SI1,62.9,56,5375,6.41,6.38,4.02,5321.782178
982,1.01,Very Good,D,SI2,62.8,59,4588,6.34,6.44,4.01,4542.574257
983,0.31,Ideal,G,VVS2,61.9,55,707,4.33,4.36,2.69,2280.645161
984,0.37,Premium,E,VS2,58.9,61,1041,4.68,4.66,2.75,2813.513514
985,1.21,Premium,J,SI2,60.9,60,4440,6.82,6.78,4.14,3669.421488
986,1.12,Premium,G,VVS1,60.9,57,8561,6.72,6.67,4.08,7643.75
987,1.2,Premium,G,SI1,63,60,6494,6.81,6.75,4.27,5411.666667
988,1.48,Good,G,IF,59.8,61,15164,7.54,7.34,4.45,10245.94595
989,0.37,Premium,F,VS2,59.8,59,957,4.66,4.63,2.78,2586.486486
990,0.33,Ideal,F,IF,61.2,56,1240,4.47,4.49,2.74,3757.575758
991,0.77,Good,I,VS1,64.1,55,2184,5.8,5.86,3.73,2836.363636
992,1.82,Premium,G,SI1,62.7,58,15162,7.75,7.68,4.84,8330.769231
993,0.3,Very Good,H,SI2,63.2,55,485,4.29,4.26,2.7,1616.666667
994,0.39,Ideal,G,VS2,60.7,54,745,4.74,4.77,2.89,1910.25641
995,1,Very Good,E,SI2,62.5,55,4392,6.38,6.41,4,4392
996,0.41,Very Good,D,VVS2,62.5,54,1160,4.79,4.81,3,2829.268293
997,1,Very Good,D,VS2,63.6,56,7717,6.3,6.35,4.02,7717
998,1.09,Good,H,SI1,63.6,56,5010,6.56,6.53,4.16,4596.330275
999,1.15,Premium,F,SI2,61.8,54,4186,6.78,6.75,4.18,3640
1000,1.09,Premium,J,VS1,59.3,57,4303,6.79,6.74,4.01,3947.706422
1001,0.3,Ideal,G,VS1,61.7,57,605,4.3,4.32,2.66,2016.666667
1002,1.01,Good,E,SI1,63.8,60,4256,6.36,6.31,4.04,4213.861386
1003,0.77,Ideal,F,SI1,61.4,55,3169,5.93,5.95,3.65,4115.584416
1004,0.75,Premium,I,SI1,59.1,58,2295,5.91,5.87,3.48,3060
1005,0.53,Premium,F,SI1,61.4,58,1324,5.19,5.17,3.18,2498.113208
1006,0.7,Ideal,E,SI1,62.6,55,2656,5.62,5.66,3.53,3794.285714
1007,0.5,Ideal,F,VVS2,62,55,2160,5.12,5.1,3.17,4320
1008,1,Very Good,D,SI2,63.2,57,4628,6.24,6.32,3.97,4628
1009,0.7,Ideal,E,SI1,61.9,55,2537,5.74,5.77,3.56,3624.285714
1010,0.59,Ideal,G,VS2,61.9,56,2057,5.38,5.42,3.34,3486.440678
1011,1,Fair,E,SI2,65.8,58,2948,6.28,6.16,4.09,2948
1012,0.42,Premium,F,VS1,59.8,57,985,4.89,4.85,2.91,2345.238095
1013,0.9,Premium,G,SI1,60.6,60,3407,6.22,6.15,3.75,3785.555556
1014,0.38,Ideal,E,VS2,61.9,57,963,4.66,4.61,2.87,2534.210526
1015,2.05,Good,G,SI2,63.7,61,16148,7.99,8.03,5.1,7877.073171
1016,0.55,Ideal,D,VVS2,61.1,57,2644,5.32,5.29,3.24,4807.272727
1017,1.24,Ideal,F,VS2,61.6,54,9569,6.95,6.91,4.27,7716.935484
1018,1.09,Ideal,F,SI2,61.2,57,4981,6.64,6.6,4.05,4569.724771
1019,2.24,Ideal,I,SI1,60.5,59,18299,8.45,8.5,5.13,8169.196429
1020,1.78,Premium,J,SI2,62.6,58,8889,7.78,7.72,4.85,4993.820225
1021,0.99,Very Good,F,VS2,61.8,57,6094,6.37,6.39,3.94,6155.555556
1022,0.34,Premium,H,VS1,60.8,59,765,4.53,4.48,2.74,2250
1023,1.72,Ideal,J,SI1,62,57,8900,7.66,7.62,4.74,5174.418605
1024,1,Good,E,SI1,63.5,62,4535,6.27,6.4,4.02,4535
1025,0.32,Very Good,F,VS2,63.2,58,828,4.35,4.32,2.74,2587.5
1026,0.35,Very Good,G,VS1,59.2,60,725,4.59,4.64,2.73,2071.428571
1027,0.32,Ideal,E,VS2,61,56,662,4.4,4.42,2.69,2068.75
1028,0.27,Very Good,F,VVS2,61.8,56,682,4.19,4.2,2.6,2525.925926
1029,1.01,Ideal,D,VVS2,61.9,56,11442,6.41,6.45,3.98,11328.71287
1030,0.31,Good,E,VVS1,59,59,826,4.4,4.42,2.6,2664.516129
1031,0.34,Ideal,H,SI1,62.6,56,490,4.46,4.48,2.8,1441.176471
1032,0.41,Premium,H,SI1,61.7,60,876,4.75,4.71,2.92,2136.585366
1033,0.31,Ideal,G,VS2,59.1,57,698,4.48,4.45,2.64,2251.612903
1034,0.41,Very Good,I,VVS1,63.5,58,845,4.7,4.75,3,2060.97561
1035,2.4,Premium,J,SI1,59.7,58,15920,8.75,8.71,5.21,6633.333333
1036,0.73,Premium,I,VS1,61.2,59,2371,5.82,5.84,3.57,3247.945205
1037,0.43,Premium,D,SI2,60.7,58,716,4.85,4.91,2.96,1665.116279
1038,1.01,Ideal,F,VS2,60.3,56,6672,6.5,6.56,3.94,6605.940594
1039,0.62,Good,F,VVS2,59.9,62,2131,5.51,5.53,3.3,3437.096774
1040,0.7,Very Good,E,VS1,63.6,57,3154,5.61,5.65,3.58,4505.714286
1041,0.5,Premium,F,VS1,58,59,1715,5.3,5.22,3.05,3430
1042,1.25,Ideal,I,VS2,60,57,4795,7.07,7.02,4.23,3836
1043,0.9,Premium,H,VS1,63,59,4064,6.13,6.1,3.85,4515.555556
1044,1.01,Very Good,D,I1,63.4,61,2291,6.38,6.3,4.02,2268.316832
1045,1.21,Premium,F,VS1,60.1,58,9279,6.89,6.98,4.17,7668.595041
1046,0.73,Ideal,J,VS2,62.8,55,2054,5.69,5.72,3.58,2813.69863
1047,2.13,Premium,I,SI2,59.8,58,12980,8.43,8.37,5.02,6093.896714
1048,0.73,Premium,G,VS2,60.7,58,2770,5.87,5.82,3.55,3794.520548
1049,0.7,Premium,F,SI2,59.5,58,2234,5.82,5.72,3.44,3191.428571
1050,0.42,Ideal,D,VS2,61.2,56,1031,4.8,4.84,2.95,2454.761905
1051,0.6,Ideal,G,VS1,61.3,57,2105,5.4,5.47,3.33,3508.333333
1052,2.32,Premium,I,SI1,61.2,58,18026,8.57,8.52,5.23,7769.827586
1053,1.55,Ideal,D,VS2,60.1,58,15845,7.56,7.54,4.54,10222.58065
1054,1.05,Ideal,G,VS1,62.2,53,7270,6.51,6.55,4.06,6923.809524
1055,0.61,Ideal,E,VVS2,62,54,3011,5.43,5.47,3.38,4936.065574
1056,0.53,Very Good,J,SI1,61.5,56,1044,5.18,5.21,3.19,1969.811321
1057,0.34,Ideal,D,VS2,62,55,1033,4.49,4.45,2.77,3038.235294
1058,0.3,Ideal,D,SI1,61.9,56,709,4.31,4.28,2.66,2363.333333
1059,0.91,Ideal,D,SI2,62.6,54,4067,6.22,6.25,3.9,4469.230769
1060,1.57,Ideal,G,VS1,61.9,55,13462,7.53,7.47,4.64,8574.522293
1061,0.9,Good,H,SI1,63.1,63,3484,6.04,6.1,3.83,3871.111111
1062,0.41,Premium,G,VVS1,61,61,1230,4.75,4.72,2.89,3000
1063,0.31,Premium,H,IF,61,58,1046,4.38,4.34,2.66,3374.193548
1064,2,Fair,I,SI2,66.8,55,8037,7.75,7.71,5.16,4018.5
1065,1.13,Ideal,F,VVS2,61.4,56,10327,6.77,6.72,4.14,9138.938053
1066,0.31,Ideal,I,SI1,62,53,436,4.37,4.4,2.72,1406.451613
1067,1.78,Ideal,F,VS2,60.9,56,18128,7.85,7.88,4.79,10184.26966
1068,0.32,Ideal,D,VS2,61.1,56,713,4.42,4.45,2.71,2228.125
1069,0.7,Very Good,F,VS2,63,58,2507,5.59,5.62,3.53,3581.428571
1070,0.51,Ideal,E,SI2,62.7,53,1265,5.12,5.09,3.2,2480.392157
1071,0.52,Ideal,E,VS2,61.5,56,1694,5.2,5.18,3.19,3257.692308
1072,0.32,Ideal,D,VS1,60.2,57,933,4.45,4.42,2.67,2915.625
1073,2.04,Premium,I,VS2,61,61,16768,8.14,8.08,4.95,8219.607843
1074,1.2,Premium,G,IF,59.4,61,10169,6.95,6.92,4.12,8474.166667
1075,0.32,Ideal,G,VVS1,62.2,55,842,4.38,4.4,2.73,2631.25
1076,1.21,Very Good,I,VS1,61.2,58,5866,6.85,6.91,4.21,4847.933884
1077,1,Very Good,D,SI2,58.3,61,4543,6.54,6.59,3.83,4543
1078,0.35,Premium,H,VVS1,61.2,60,1024,4.54,4.51,2.77,2925.714286
1079,0.91,Very Good,E,VS2,59.4,59,4795,6.3,6.36,3.76,5269.230769
1080,1.09,Ideal,G,VVS2,60.6,57,8364,6.62,6.7,4.05,7673.394495
1081,0.85,Ideal,G,SI1,62.2,56,3670,6.04,6.09,3.77,4317.647059
1082,0.43,Fair,E,VS2,60.5,59,1107,4.92,4.9,2.97,2574.418605
1083,0.76,Fair,G,VS1,59,70,2800,5.89,5.8,3.46,3684.210526
1084,0.3,Ideal,F,VVS1,60.5,56,863,4.34,4.45,2.66,2876.666667
1085,0.36,Premium,E,VS1,61.5,59,933,4.6,4.57,2.82,2591.666667
1086,1,Very Good,D,SI1,61.3,54,5390,6.37,6.39,3.91,5390
1087,0.41,Ideal,E,VS2,62,56,999,4.79,4.72,2.95,2436.585366
1088,0.55,Very Good,J,VS2,61.7,54,1172,5.29,5.34,3.28,2130.909091
1089,0.9,Ideal,F,SI2,61.5,56,4198,6.24,6.18,3.82,4664.444444
1090,0.72,Ideal,F,VVS2,62.3,57,3740,5.72,5.74,3.57,5194.444444
1091,1.58,Ideal,H,VS2,62.7,56,11365,7.44,7.39,4.65,7193.037975
1092,0.32,Ideal,G,VS2,62,57,720,4.41,4.39,2.73,2250
1093,0.54,Ideal,G,VVS2,61.4,55,1985,5.22,5.3,3.23,3675.925926
1094,0.5,Ideal,G,SI2,60,57,1038,5.17,5.2,3.11,2076
1095,0.34,Ideal,G,VS2,61.5,55,596,4.47,4.5,2.76,1752.941176
1096,0.31,Premium,G,IF,61.6,55,988,4.42,4.38,2.71,3187.096774
1097,0.8,Very Good,F,SI1,61.6,59,2745,5.9,5.96,3.65,3431.25
1098,0.8,Ideal,F,VS2,61.3,55,3913,5.98,6,3.67,4891.25
1099,1.5,Premium,F,VVS2,58.8,58,17203,7.51,7.43,4.39,11468.66667
1100,0.56,Premium,D,VS2,61.5,58,1910,5.28,5.33,3.26,3410.714286
1101,0.74,Premium,H,SI2,60.9,61,1962,5.84,5.75,3.53,2651.351351
1102,0.3,Ideal,I,VVS2,62.5,54,495,4.27,4.31,2.68,1650
1103,0.31,Premium,E,VVS1,61.3,58,988,4.39,4.36,2.68,3187.096774
1104,0.77,Ideal,E,SI2,61,57,2519,5.91,5.93,3.61,3271.428571
1105,0.6,Ideal,G,VS2,61.1,55,1930,5.46,5.48,3.34,3216.666667
1106,0.7,Premium,E,SI1,61.8,59,2396,5.63,5.57,3.46,3422.857143
1107,0.33,Good,I,VVS2,63.7,56,743,4.4,4.36,2.79,2251.515152
1108,1.01,Premium,F,VS2,60.8,57,6702,6.52,6.47,3.95,6635.643564
1109,0.31,Premium,H,VS1,61.7,61,698,4.34,4.31,2.67,2251.612903
1110,0.9,Fair,D,SI1,64,63,4796,6.12,6.04,3.89,5328.888889
1111,0.36,Very Good,D,SI1,60.1,57,663,4.62,4.66,2.79,1841.666667
1112,0.55,Very Good,G,VVS1,61.5,55.1,2451,5.26,5.28,3.24,4456.363636
1113,1.09,Very Good,E,SI2,62.2,58,5165,6.54,6.61,4.09,4738.53211
1114,0.7,Ideal,F,VS1,62.4,53,2839,5.73,5.71,3.57,4055.714286
1115,0.53,Ideal,H,SI2,61.9,54,1020,5.21,5.23,3.23,1924.528302
1116,1.16,Premium,H,VS2,62.3,56,6202,6.77,6.68,4.19,5346.551724
1117,0.29,Ideal,H,VVS2,61.7,56,511,4.29,4.33,2.66,1762.068966
1118,0.91,Premium,D,SI1,59.3,58,4179,6.38,6.33,3.77,4592.307692
1119,0.31,Ideal,E,VS1,61.6,57,942,4.35,4.32,2.67,3038.709677
1120,0.28,Very Good,F,VVS2,60.6,59,642,4.22,4.26,2.57,2292.857143
1121,0.93,Ideal,H,SI1,62,55,3844,6.32,6.29,3.91,4133.333333
1122,0.78,Premium,I,VS2,62.7,58,2646,5.89,5.82,3.68,3392.307692
1123,0.27,Very Good,H,VVS2,61.2,58,445,4.16,4.2,2.56,1648.148148
1124,0.51,Ideal,D,SI2,62.5,55,1264,5.12,5.15,3.21,2478.431373
1125,1.7,Very Good,J,SI1,63.2,57,9253,7.63,7.55,4.8,5442.941176
1126,1.5,Premium,F,SI1,62.6,60,10962,7.27,7.18,4.52,7308
1127,1,Good,E,SI1,63.2,57,5299,6.36,6.39,4.03,5299
1128,2.01,Premium,H,VS2,61.1,61,15528,8.14,8.09,4.96,7725.373134
1129,0.64,Ideal,F,VVS2,60.9,56,3217,5.57,5.59,3.4,5026.5625
1130,0.54,Good,E,SI2,63.8,54,1163,5.17,5.18,3.3,2153.703704
1131,1.01,Very Good,D,IF,63.4,59,15219,6.39,6.26,4.01,15068.31683
1132,1.34,Ideal,E,VVS2,62.6,54,14593,7.05,7.07,4.42,10890.29851
1133,1.51,Good,E,SI2,63.1,58,9343,7.28,7.31,4.6,6187.417219
1134,0.75,Ideal,I,VS1,61.1,59,2659,5.85,5.87,3.58,3545.333333
1135,0.7,Ideal,G,SI2,62.9,56,2056,5.69,5.66,3.57,2937.142857
1136,0.4,Premium,E,VS2,62.2,58,975,4.72,4.67,2.92,2437.5
1137,1.33,Ideal,J,VS1,62.4,55,6190,7.02,7.05,4.39,4654.135338
1138,0.36,Very Good,G,IF,60.4,62,1002,4.6,4.64,2.79,2783.333333
1139,0.31,Premium,F,VS2,61.8,59,802,4.33,4.31,2.67,2587.096774
1140,2.09,Premium,H,SI2,60.9,58,13119,8.23,8.2,5,6277.033493
1141,1.5,Premium,E,VS2,59.5,58,14386,7.53,7.46,4.46,9590.666667
1142,1.01,Very Good,H,SI1,62.9,56,5433,6.34,6.41,4.01,5379.207921
1143,1.61,Very Good,E,SI2,63,59.9,10891,7.42,7.45,4.68,6764.596273
1144,0.3,Very Good,G,VS1,62.9,55,620,4.25,4.27,2.68,2066.666667
1145,0.32,Ideal,I,VS1,62.3,57,648,4.42,4.37,2.74,2025
1146,0.65,Good,F,SI1,58.1,61,1843,5.66,5.74,3.31,2835.384615
1147,0.3,Premium,G,VVS2,61.6,60,878,4.27,4.24,2.62,2926.666667
1148,1.27,Ideal,F,SI2,62,55,5308,6.9,6.95,4.3,4179.527559
1149,0.8,Premium,J,SI1,61.4,57,1838,5.98,5.95,3.66,2297.5
1150,1.02,Very Good,H,SI2,62.6,57,4341,6.42,6.46,4.03,4255.882353
1151,1.02,Good,I,SI1,64.2,53,3998,6.3,6.26,4.03,3919.607843
1152,0.4,Ideal,H,SI2,61.6,56,516,4.73,4.75,2.92,1290
1153,1.11,Premium,G,VS2,60.4,58,6445,6.76,6.72,4.07,5806.306306
1154,1.09,Ideal,E,IF,60.1,58,15193,6.68,6.72,4.03,13938.53211
1155,0.4,Very Good,F,VVS1,63.7,58,1116,4.65,4.68,2.97,2790
1156,1.12,Premium,H,VS1,61.6,58,6115,6.64,4.11,3.7,5459.821429
1157,0.3,Good,G,VS1,63.1,58,605,4.24,4.28,2.69,2016.666667
1158,1.01,Good,G,SI2,63.5,58,4079,6.34,6.39,4.04,4038.613861
1159,0.29,Ideal,G,VS2,61.6,56,525,4.26,4.29,2.63,1810.344828
1160,0.52,Premium,E,SI1,60.3,58,1369,5.2,5.24,3.15,2632.692308
1161,1.06,Ideal,F,IF,61,57,10995,6.55,6.64,4.02,10372.64151
1162,1,Fair,J,SI2,69.9,61,2117,6.13,5.86,4.23,2117
1163,0.7,Very Good,D,VS2,62.5,55,3052,5.65,5.71,3.55,4360
1164,0.58,Ideal,E,VS2,62.1,55,1761,5.35,5.34,3.32,3036.206897
1165,1.31,Ideal,I,VS2,62.4,57,6338,6.93,6.97,4.34,4838.167939
1166,1.91,Premium,I,SI1,59.6,60,13092,8.02,7.98,4.77,6854.450262
1167,1.52,Ideal,D,SI1,60.6,58,14426,7.46,7.4,4.51,9490.789474
1168,0.31,Very Good,H,VS2,59.7,61,489,4.39,4.42,2.63,1577.419355
1169,1.3,Ideal,I,VS1,62.1,57,6931,7.04,6.98,4.35,5331.538462
1170,1.55,Ideal,E,SI2,62.3,55,6901,7.44,7.37,4.61,4452.258065
1171,1.54,Premium,G,VS2,61.6,59,12308,7.46,7.4,4.58,7992.207792
1172,1.58,Ideal,I,SI1,61.7,56,9335,7.55,7.48,4.64,5908.227848
1173,0.41,Very Good,G,VS1,61.7,57,899,4.75,4.78,2.94,2192.682927
1174,0.51,Premium,E,VVS2,61,61,2060,5.17,5.13,3.14,4039.215686
1175,1.71,Good,J,SI2,63.9,59,7508,7.55,7.47,4.8,4390.643275
1176,0.3,Very Good,G,SI1,59.5,63,574,4.32,4.29,2.56,1913.333333
1177,1.01,Good,G,SI2,62.4,60,4150,6.32,6.38,3.96,4108.910891
1178,0.31,Ideal,H,VS1,62.2,57,698,4.37,4.34,2.71,2251.612903
1179,0.72,Premium,D,SI1,60.4,59,2691,5.77,5.72,3.47,3737.5
1180,1.04,Very Good,F,SI2,60,61,4427,6.5,6.57,3.92,4256.730769
1181,1.02,Ideal,G,SI1,62.2,56,5082,6.44,6.46,4.01,4982.352941
1182,1.09,Ideal,G,I1,61,56,3549,6.62,6.66,4.05,3255.963303
1183,0.74,Premium,F,SI2,59.2,60,2383,5.96,5.9,3.51,3220.27027
1184,0.53,Very Good,I,VS2,60.3,60.1,1190,5.22,5.25,3.16,2245.283019
1185,1.58,Ideal,G,IF,62.2,57,17329,7.45,7.51,4.65,10967.72152
1186,0.3,Ideal,G,VVS2,62.5,53,655,4.31,4.33,2.7,2183.333333
1187,0.47,Ideal,D,VS2,61.9,56,1319,4.99,5.03,3.1,2806.382979
1188,0.25,Very Good,G,VS2,61.9,57,407,4.05,4.08,2.51,1628
1189,0.33,Ideal,F,VS2,61.9,55,854,4.46,4.43,2.75,2587.878788
1190,0.67,Good,F,VS1,62.3,62,2293,5.5,5.59,3.46,3422.38806
1191,1.23,Good,I,VS1,63.6,59,5834,6.76,6.85,4.33,4743.089431
1192,0.5,Fair,F,SI1,66.5,59,994,5.01,4.91,3.3,1988
1193,1.01,Ideal,G,VS2,62.7,56,6108,6.43,6.39,4.02,6047.524752
1194,0.28,Very Good,E,VVS2,60.2,58,604,4.24,4.27,2.56,2157.142857
1195,0.31,Ideal,E,IF,61.8,54,1214,4.36,4.38,2.7,3916.129032
1196,0.7,Good,F,SI1,58.7,61,2264,5.77,5.81,3.4,3234.285714
1197,0.54,Premium,E,SI1,61.4,60,1422,5.21,5.25,3.21,2633.333333
1198,0.3,Premium,E,SI1,62.7,60,675,4.28,4.24,2.67,2250
1199,1.24,Ideal,H,VVS1,61.9,55,8693,6.85,6.91,4.27,7010.483871
1200,0.7,Very Good,H,SI2,60,60,2077,5.76,5.8,3.47,2967.142857
1201,2.45,Ideal,J,VS2,60.4,56,18113,8.72,8.81,5.3,7393.061224
1202,0.37,Premium,F,VS2,60.5,59,696,4.62,4.67,2.81,1881.081081
1203,1.1,Ideal,G,VS1,61.5,57,6984,6.62,6.65,4.08,6349.090909
1204,0.74,Very Good,E,SI2,61.7,56,2179,5.76,5.9,3.6,2944.594595
1205,2.04,Very Good,H,SI2,62.7,56,15618,8.06,8.12,5.07,7655.882353
1206,0.41,Premium,H,SI1,60.5,58,683,4.81,4.85,2.92,1665.853659
1207,0.37,Premium,G,VS2,59.7,61,944,4.72,4.66,2.8,2551.351351
1208,0.71,Very Good,E,VS2,62.9,57,2964,5.68,5.7,3.58,4174.647887
1209,0.65,Premium,D,VS1,59.4,62,2387,5.72,5.66,3.38,3672.307692
1210,1.5,Good,F,I1,60.6,62,5313,7.22,7.24,4.38,3542
1211,0.33,Premium,I,SI1,61.3,59,572,4.51,4.46,2.75,1733.333333
1212,1.04,Ideal,F,SI2,62.4,56,4486,6.4,6.48,4.02,4313.461538
1213,1.5,Very Good,J,VVS1,62.3,62,8415,7.16,7.23,4.48,5610
1214,0.34,Ideal,F,VS2,62.1,56,686,4.47,4.51,2.79,2017.647059
1215,0.35,Ideal,G,VS1,61.9,55,706,4.51,4.53,2.8,2017.142857
1216,1.5,Premium,F,VS2,62.4,57,13333,7.38,7.29,4.58,8888.666667
1217,0.58,Good,G,VS1,59,62,1777,5.44,5.48,3.22,3063.793103
1218,0.52,Premium,E,VS1,59.2,59,1739,5.29,5.25,3.12,3344.230769
1219,0.91,Very Good,F,SI2,62.4,58,3659,6.17,6.21,3.86,4020.879121
1220,2.01,Premium,I,VS1,62.9,62,17068,8.02,7.98,5.03,8491.542289
1221,0.33,Ideal,H,VVS2,60.9,57,666,4.48,4.52,2.74,2018.181818
1222,2.8,Good,G,SI2,63.8,58,18788,8.9,8.85,0,6710
1223,1.21,Premium,H,SI1,61.6,61,6505,6.88,6.83,4.22,5376.033058
1224,0.4,Premium,G,SI1,58.3,62,816,4.86,4.81,2.82,2040
1225,1.21,Premium,I,VS2,62.6,59,4884,6.77,6.67,4.21,4036.363636
1226,1.02,Ideal,H,SI2,61.8,55,4207,6.47,6.51,4.01,4124.509804
1227,0.9,Fair,E,SI1,64.9,56,3743,6.12,6.18,3.99,4158.888889
1228,1.54,Ideal,G,VS2,60.8,57,15395,7.44,7.46,4.53,9996.753247
1229,1.01,Premium,E,SI1,62,61,5311,6.42,6.38,3.97,5258.415842
1230,0.29,Very Good,E,VVS1,59.5,61,609,4.29,4.31,2.56,2100
1231,1,Premium,G,SI1,60.8,58,4816,6.48,6.45,3.93,4816
1232,1.02,Premium,G,VVS2,62.6,59,7602,6.41,6.46,4.03,7452.941176
1233,0.43,Ideal,F,VS1,61.4,56,1235,4.87,4.9,3,2872.093023
1234,0.42,Ideal,E,SI1,62.3,57,992,4.8,4.76,2.98,2361.904762
1235,1.21,Ideal,I,VVS2,61.3,56,7938,6.83,6.87,4.2,6560.330579
1236,0.59,Premium,H,SI1,62.9,60,1265,5.34,5.24,3.33,2144.067797
1237,0.5,Premium,G,VS1,62.2,59,1746,5.09,5.04,3.15,3492
1238,0.26,Ideal,I,VS1,61.9,56,358,4.08,4.16,2.55,1376.923077
1239,0.4,Ideal,F,VS2,63.4,54,1059,4.73,4.68,2.99,2647.5
1240,0.43,Ideal,F,SI1,61.8,56,1016,4.87,4.84,3,2362.790698
1241,0.44,Ideal,D,VS1,61.6,56,1294,4.92,4.85,3.01,2940.909091
1242,0.72,Very Good,J,VS2,63.2,60,1814,5.77,5.7,3.63,2519.444444
1243,0.7,Very Good,F,VS2,62.4,57,2362,5.63,5.69,3.53,3374.285714
1244,0.4,Premium,F,VS1,61.1,59,1050,4.75,4.71,2.89,2625
1245,0.57,Ideal,E,SI1,61.5,56,1436,5.32,5.35,3.28,2519.298246
1246,0.3,Ideal,D,SI1,62.2,56,552,4.25,4.3,2.66,1840
1247,2.05,Ideal,J,VS1,61.4,59,16793,8.16,8.13,5,8191.707317
1248,0.7,Very Good,G,VS2,63.1,58,2479,5.65,5.61,3.55,3541.428571
1249,0.53,Premium,D,VVS2,62.7,60,2514,5.19,5.12,3.23,4743.396226
1250,0.7,Very Good,E,SI2,62,59,2263,5.61,5.68,3.5,3232.857143
1251,1.52,Premium,J,SI1,60.4,59,5618,7.44,7.39,4.48,3696.052632
1252,1.56,Very Good,I,VS1,58.2,59,10523,7.65,7.7,4.47,6745.512821
1253,1,Very Good,I,SI1,63.2,56,4088,6.37,6.31,4.01,4088
1254,0.77,Ideal,D,SI2,60.2,56,2923,5.98,6.04,3.62,3796.103896
1255,0.54,Ideal,E,VS2,61.9,57,1847,5.23,5.2,3.23,3420.37037
1256,0.32,Ideal,E,VVS1,61.6,56,954,4.41,4.42,2.72,2981.25
1257,0.36,Ideal,D,SI1,62.7,57,663,4.54,4.59,2.86,1841.666667
1258,0.51,Ideal,H,SI1,59.8,57,1154,5.22,5.25,3.13,2262.745098
1259,1.5,Ideal,G,VS2,62.2,58,13049,7.31,7.29,4.54,8699.333333
1260,1.27,Ideal,G,VS1,61.2,57,11206,6.97,6.98,4.27,8823.622047
1261,0.5,Good,F,SI1,62.5,60,1223,5.07,5.11,3.18,2446
1262,0.7,Very Good,E,SI1,62.6,56,2459,5.65,5.69,3.55,3512.857143
1263,0.7,Fair,F,SI2,64.6,57,1947,5.6,5.57,3.61,2781.428571
1264,0.71,Premium,F,VS2,59.3,56,2840,5.88,5.82,3.47,4000
1265,0.72,Premium,E,SI2,60.4,58,2320,5.82,5.78,3.5,3222.222222
1266,1.09,Ideal,H,SI1,62.4,55,4871,6.68,6.59,4.14,4468.807339
1267,0.74,Good,H,SI1,62.4,65,2362,5.78,5.71,3.59,3191.891892
1268,0.58,Ideal,G,SI1,62.2,55,1446,5.33,5.37,3.33,2493.103448
1269,1.13,Premium,H,SI2,60.7,54,4873,6.82,6.72,4.11,4312.389381
1270,0.51,Premium,H,SI1,60.6,59,1116,5.17,5.13,3.12,2188.235294
1271,0.81,Premium,E,VS2,61.5,58,3674,5.99,5.94,3.97,4535.802469
1272,1.24,Premium,E,SI1,59.7,59,6875,7.07,6.99,4.2,5544.354839
